ID,Hurricane,Origin,Sex,SVL,Femur,Tibia,Metatarsal,LongestToe,Humerus,Radius,Metacarpal,LongestFinger,FingerCount,ToeCount,FingerArea1,FingerArea2,FingerArea3,ToeArea1,ToeArea2,ToeArea3
PC01,Before,Pine Cay,Male,61.22,15.38,14.88,9.23,8.91,11.13,10.13,2.91,4.53,12,16,2.115,2.091,2.125,4.409,4.405,4.342
PC02,Before,Pine Cay,Male,52.52,12.35,13.36,8.35,8.22,10.04,8.58,3.09,4.02,14,16,1.76,1.777,1.795,3.182,3.095,3.087
PC05,Before,Pine Cay,Female,44.87,9.68,10.3,7.01,6.86,7.42,6.65,2.28,3.93,11,14,0.998,1.02,1.032,1.498,1.459,1.46
PC06,Before,Pine Cay,Male,57.9,12.91,14.08,9.31,9.41,12.18,9.6,3.6,4.96,13,16,2.393,2.445,2.38,4.436,4.357,4.354
PC07,Before,Pine Cay,Female,44.29,10.16,10.51,7.09,6.86,7.79,6.96,2.47,3.8,12,14,1.067,1.056,1.023,1.659,1.686,1.654
PC08,Before,Pine Cay,Female,44,9.93,10.22,6.73,5.99,7.85,6.88,2.18,3.63,11,13,1.157,1.118,1.155,1.535,1.532,1.567
PC09,Before,Pine Cay,Female,44.44,9.48,10.69,6.97,6.49,7.67,7.16,2.87,3.36,11,13,0.909,0.907,0.924,1.745,1.77,1.727
PC10,Before,Pine Cay,Male,60.9,13.55,14.39,9.34,9.66,11.19,9.62,3.38,5.2,13,15,2.419,2.465,2.397,3.882,3.847,3.798
PC11,Before,Pine Cay,Male,53.5,12.27,12.96,8.41,8.77,9.3,8.77,3.27,4.53,12,16,1.996,1.955,1.965,3.285,3.279,3.212
PC13,Before,Pine Cay,Male,57.92,13.77,14.41,8.73,8.67,10.6,9.22,2.8,4.23,13,15,2.52,2.514,2.542,3.709,3.674,3.708
PC14,Before,Pine Cay,Male,51.31,12.16,13.05,7.89,7.44,9.26,8.03,2.41,3.76,12,15,1.526,1.582,1.554,2.469,2.569,2.579
PC15,Before,Pine Cay,Male,62.1,13.48,14.77,9.62,9.29,10.59,9.36,3.35,4.44,13,16,2.572,2.556,2.57,3.483,3.463,3.43
PC16,Before,Pine Cay,Male,57.17,14.09,13.53,8.95,9.61,10.94,9.27,3.29,4.73,13,14,1.889,1.84,1.904,3.427,3.357,3.33
PC17,Before,Pine Cay,Male,59.49,13.08,13.96,8.87,8.77,11.37,8.98,2.75,4.16,11,14,2.208,2.233,2.272,3.589,3.693,3.664
PC20,Before,Pine Cay,Female,41.42,11.39,11.78,7.34,7.02,8.65,7.28,2.77,3.58,11,14,1.022,1,0.997,1.959,1.855,1.932
PC23,Before,Pine Cay,Female,47.63,10.97,12.21,7.58,7.33,8.53,7.99,2.6,3.75,12,14,1.28,1.291,1.285,2.055,2.134,2.055
PC24,Before,Pine Cay,Male,59.21,13.12,13.82,8.55,9.14,9.32,8.81,3.23,3.98,12,16,2.035,2.124,2.034,3.533,3.546,3.465
PC25,Before,Pine Cay,Male,56.42,12.43,13.84,8.84,9.55,10.31,8.78,2.76,4.28,13,16,1.97,1.873,1.944,3.126,3.083,2.99
PC26,Before,Pine Cay,Male,53.25,11.83,13.28,8.21,7.89,9.21,8.17,2.58,4.19,11,15,1.218,1.193,1.219,2.623,2.537,2.654
PC27,Before,Pine Cay,Male,56.51,12.68,13.91,8.65,8.56,10.18,8.41,2.74,4.24,13,14,1.596,1.608,1.61,2.958,2.784,2.803
PC29,Before,Pine Cay,Female,43.37,9.47,9.91,6.5,6.18,7.36,6.61,1.9,3.42,10,12,0.844,0.8,0.853,1.49,1.49,1.62
PC30,Before,Pine Cay,Male,53.19,13.23,13.3,8.67,8.47,9.54,8.61,2.89,4.72,12,13,1.682,1.694,1.658,3.15,3.187,3.154
PC73,Before,Pine Cay,Female,43.46,10.46,11.23,6.72,6.37,7.88,7.28,2.55,3.23,11,14,0.943,0.941,0.909,1.629,1.538,1.668
PC74,Before,Pine Cay,Male,60.25,12.99,15.45,9.09,8,10.35,9.17,3.24,4.11,11,15,2.008,2.082,2.047,3.924,3.933,3.949
PC75,Before,Pine Cay,Male,61.38,12.95,14.78,8.7,8.93,10.44,9.12,3.3,4.68,11,13,2.251,2.25,2.242,3.799,3.764,3.769
PC76,Before,Pine Cay,Female,45.05,10.24,10.26,6.44,6.16,7.86,7.22,2.86,3.42,10,12,0.882,0.907,0.885,1.673,1.715,1.659
PC77,Before,Pine Cay,Male,50.19,11.56,13.26,8.09,7.59,9.41,7.99,2.75,4.02,11,14,1.464,1.476,1.452,2.261,2.334,2.317
PC79,Before,Pine Cay,Female,42.53,9.23,10.05,6.34,6.42,7.66,6.51,2.33,3.08,10,13,0.893,0.849,0.889,1.358,1.349,1.382
PC85,Before,Pine Cay,Female,45.61,10.24,10.52,7.05,6.54,7.76,7.33,2.21,3.4,11,12,0.913,0.911,0.899,1.773,1.707,1.729
PC86,Before,Pine Cay,Female,43.03,9.41,10.19,6.25,6.37,7.38,6.82,2.54,3.11,11,14,0.933,0.938,0.934,1.628,1.583,1.669
PC87,Before,Pine Cay,Female,45.2,9.48,10.39,6.37,6.77,7.58,6.93,2.37,3.09,11,14,1.043,1.032,1.035,1.762,1.678,1.697
PC88,Before,Pine Cay,Female,44.67,9.86,10.81,6.71,6.9,7.92,7.18,2.86,3.14,10,12,1.115,1.107,1.089,1.793,1.808,1.809
PC89,Before,Pine Cay,Female,42.05,8.48,9.36,6.04,6.38,7.11,6.44,2.41,3.7,11,15,1.043,1.037,1.053,1.65,1.646,1.67
WC31,Before,Water Cay,Female,42.07,9.92,10.23,6.62,6.58,7.56,6.68,2.44,3.17,10,12,0.914,0.92,0.922,1.404,1.384,1.373
WC32,Before,Water Cay,Male,55.12,12.37,13.16,7.85,7.78,9.52,8.04,3.41,4.33,11,14,2.294,2.289,2.342,3.37,3.254,3.311
WC33,Before,Water Cay,Female,43.31,10.21,11.48,7.1,7.24,8.05,7.16,2.76,3.96,12,15,1.074,1.063,1.072,1.699,1.72,1.712
WC34,Before,Water Cay,Male,50.31,11.94,12.64,7.66,7,9.61,8.05,2.54,4.06,12,14,1.508,1.471,1.498,2.399,2.6,2.302
WC36,Before,Water Cay,Male,55.81,13.06,13.69,8.22,8.18,10.07,8.6,3.03,4.6,12,14,1.71,1.823,1.763,2.866,2.857,2.776
